"SYMBOL","logFC","adj.P.Val","GENENAME"
"BST2",1.56415352905129,8.230813496262e-10,"bone marrow stromal cell antigen 2"
"QPCT",1.61709983546154,8.3091883368581e-10,"glutaminyl-peptide cyclotransferase"
"LGALS3BP",1.65259893564103,8.34338228034255e-10,"galectin 3 binding protein"
"FCGR1BP",1.95980590548718,8.75071039035323e-10,"Fc gamma receptor Ib, pseudogene"
"NFE2L3",1.52049828405128,9.12314855525564e-10,"NFE2 like bZIP transcription factor 3"
"IFI44L",1.99737327751282,9.19982621170925e-10,"interferon induced protein 44 like"
"BHLHE41",1.40100648546154,9.28816351755667e-10,"basic helix-loop-helix family member e41"
"PRRG1",1.1988784895641,9.33925695790421e-10,"proline rich and Gla domain 1"
"MSR1",2.07100680338462,9.34555323174596e-10,"macrophage scavenger receptor 1"
"CFB",1.89991372382051,9.47113945163677e-10,"complement factor B"
"CST4",1.38710591835898,9.72947639630037e-10,"cystatin S"
"ATP2B4",1.35424166071795,9.85996514266954e-10,"ATPase plasma membrane Ca2+ transporting 4"
"RUNX1T1",1.82714735523077,1.03014857103722e-09,"RUNX1 partner transcriptional co-repressor 1"
"PLOD2",1.33711551597436,1.05630037197816e-09,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
"TGFB1I1",1.80993631220513,1.05630037197816e-09,"transforming growth factor beta 1 induced transcript 1"
"ARL4C",2.08572157871795,1.06330270582472e-09,"ARF like GTPase 4C"
"TENT5C",-1.08881222915385,1.06658530829698e-09,"terminal nucleotidyltransferase 5C"
"HOXC6",1.92101606082051,1.10127191638314e-09,"homeobox C6"
"SFN",2.68209457707692,1.1549219713298e-09,"stratifin"
"TAX1BP3",1.04282009051283,1.1735834074591e-09,"Tax1 binding protein 3"
"P2RX5-TAX1BP3",1.04282009051283,1.1735834074591e-09,"P2RX5-TAX1BP3 readthrough (NMD candidate)"
"MLLT11",1.25781338969231,1.20921300016745e-09,"MLLT11 transcription factor 7 cofactor"
"KRT6B",2.4301093874359,1.27283339597113e-09,"keratin 6B"
"ANXA1",2.11301686079487,1.27363544920216e-09,"annexin A1"
"SYT11",1.00688542564103,1.30209638931728e-09,"synaptotagmin 11"
"IL13RA1",1.07791698858975,1.37792163530418e-09,"interleukin 13 receptor subunit alpha 1"
"S100A4",2.07544816589743,1.37792163530418e-09,"S100 calcium binding protein A4"
"SEPTIN11",1.14252590976923,1.38013196147683e-09,"septin 11"
"MATN3",2.17835326892308,1.44313948624856e-09,"matrilin 3"
"HS3ST1",2.09389802912821,1.49739030013081e-09,"heparan sulfate-glucosamine 3-sulfotransferase 1"
"PDLIM3",1.38605322838461,1.54049517239742e-09,"PDZ and LIM domain 3"
"PLS3",1.11093374348718,1.56814726630701e-09,"plastin 3"
"TUBA1C",1.28337491702564,1.63501988683883e-09,"tubulin alpha 1c"
"SLC6A14",3.00993894217949,1.66951338835701e-09,"solute carrier family 6 member 14"
"SPP1",2.67321836628206,1.72020674877381e-09,"secreted phosphoprotein 1"
"LOXL2",1.61216045848718,1.74846605246294e-09,"lysyl oxidase like 2"
"CBFB",1.15533472776923,1.86531976508947e-09,"core-binding factor subunit beta"
"IFI27",2.24277681741025,1.86531976508947e-09,"interferon alpha inducible protein 27"
"SLC16A4",1.94492837082051,1.86531976508947e-09,"solute carrier family 16 member 4"
"ADGRA2",1.18191971966666,1.86531976508947e-09,"adhesion G protein-coupled receptor A2"
"ABR",1.06731822102564,1.86783444977152e-09,"ABR activator of RhoGEF and GTPase"
"HDGFL3",1.38084767189744,1.88539589079555e-09,"HDGF like 3"
"DOK5",1.5515230574359,1.89126469446083e-09,"docking protein 5"
"OSBPL3",1.63408696320513,1.91582457947976e-09,"oxysterol binding protein like 3"
"TRPC1",1.28594639887179,1.94233079197314e-09,"transient receptor potential cation channel subfamily C member 1"
"WNT2",1.31860767646154,1.94499721698105e-09,"Wnt family member 2"
"ARPC1B",1.57074168779487,1.96026144955233e-09,"actin related protein 2/3 complex subunit 1B"
"IFITM2",1.43816174428206,1.99998867763086e-09,"interferon induced transmembrane protein 2"
"OPN3",1.28566708215385,2.00741443500315e-09,"opsin 3"
"PLXNC1",2.05867404646153,2.06334318069993e-09,"plexin C1"
"PEA15",1.29121214033333,2.13938668534405e-09,"proliferation and apoptosis adaptor protein 15"
"MFAP5",2.55793038782051,2.15359390721125e-09,"microfibril associated protein 5"
"CYP1B1",3.08096199356411,2.20340197054818e-09,"cytochrome P450 family 1 subfamily B member 1"
"RAI14",1.43740669420513,2.20673899182444e-09,"retinoic acid induced 14"
"DRAM1",1.0804810284359,2.26260879419027e-09,"DNA damage regulated autophagy modulator 1"
"SLC43A3",1.26046014307692,2.29736848178286e-09,"solute carrier family 43 member 3"
"FCGR1A",1.5441705254359,2.34336970541845e-09,"Fc gamma receptor Ia"
"FCGR1CP",1.5441705254359,2.34336970541845e-09,"Fc gamma receptor Ic, pseudogene"
"AXL",1.56075810641026,2.34935295772942e-09,"AXL receptor tyrosine kinase"
"SPON1",2.4929075895641,2.36280825316226e-09,"spondin 1"
"DNASE1",-2.69700423835897,2.42169989216718e-09,"deoxyribonuclease 1"
"NINJ2",1.14829577010256,2.42169989216718e-09,"ninjurin 2"
"CD58",1.64227947523076,2.42310248424938e-09,"CD58 molecule"
"RECQL",1.03397865897436,2.47319386770073e-09,"RecQ like helicase"
"TACSTD2",2.79312475320513,2.60809407758037e-09,"tumor associated calcium signal transducer 2"
"MINDY2",1.03456585235898,2.62722417312824e-09,"MINDY lysine 48 deubiquitinase 2"
"MET",1.50207236143589,2.65664441019886e-09,"MET proto-oncogene, receptor tyrosine kinase"
"SUGCT",1.26074906953846,2.67470319545337e-09,"succinyl-CoA:glutarate-CoA transferase"
"TPM2",2.11889014507693,2.70725179358951e-09,"tropomyosin 2"
"PLSCR1",1.32172360782051,2.73738839751755e-09,"phospholipid scramblase 1"
"CFI",1.352925603,2.8725491647708e-09,"complement factor I"
"ACTA2",1.9357242126923,2.91078437256446e-09,"actin alpha 2, smooth muscle"
"TUBA1B",1.21425756776923,2.939046592574e-09,"tubulin alpha 1b"
"NPR3",1.98467017333333,2.97213144210696e-09,"natriuretic peptide receptor 3"
"PTPN12",1.44050577615385,3.03360975627068e-09,"protein tyrosine phosphatase non-receptor type 12"
"ADAM10",1.14977810805128,3.09073344943531e-09,"ADAM metallopeptidase domain 10"
"GNS",1.21946787958974,3.10347382496639e-09,"glucosamine (N-acetyl)-6-sulfatase"
"TNFAIP2",1.53800990930769,3.12675051933353e-09,"TNF alpha induced protein 2"
"ITGAM",1.56476590482051,3.16051048991784e-09,"integrin subunit alpha M"
"CHSY1",1.6508372741282,3.17103082467105e-09,"chondroitin sulfate synthase 1"
"STX6",1.1267139693077,3.2414621298916e-09,"syntaxin 6"
"GREM1",3.33140365384615,3.26485385765433e-09,"gremlin 1, DAN family BMP antagonist"
"DDR2",1.13756465141026,3.30599889728603e-09,"discoidin domain receptor tyrosine kinase 2"
"WNT5A",1.34725245853846,3.30599889728603e-09,"Wnt family member 5A"
"LAMA2",1.46792407861539,3.37424279861409e-09,"laminin subunit alpha 2"
"SIRPA",1.20092686915384,3.38188742681483e-09,"signal regulatory protein alpha"
"LAMA4",2.24851263335897,3.43197279455159e-09,"laminin subunit alpha 4"
"AMMECR1",1.04915280310257,3.61088473443873e-09,"AMMECR nuclear protein 1"
"PHTF2",1.30458367033334,3.61088473443873e-09,"putative homeodomain transcription factor 2"
"LPAR6",1.55947985633333,3.69108939759851e-09,"lysophosphatidic acid receptor 6"
"ADAM28",1.88320102261539,3.699329776044e-09,"ADAM metallopeptidase domain 28"
"RSAD2",1.16419555097436,3.77924839126891e-09,"radical S-adenosyl methionine domain containing 2"
"F5",1.94876207876923,3.80721821701688e-09,"coagulation factor V"
"NCF2",1.99845242846153,3.833636583952e-09,"neutrophil cytosolic factor 2"
"OAS3",1.29146560584615,3.93079919686596e-09,"2'-5'-oligoadenylate synthetase 3"
"OAS2",1.29146560584615,3.93079919686596e-09,"2'-5'-oligoadenylate synthetase 2"
"MSN",1.73900199133334,4.08087012281727e-09,"moesin"
"DSE",2.11678923897436,4.17889880436778e-09,"dermatan sulfate epimerase"
"FLNA",1.28803383256411,4.23958897107868e-09,"filamin A"
"GABRP",3.0181794471282,4.28237451609188e-09,"gamma-aminobutyric acid type A receptor subunit pi"
"OSMR",1.7682666614359,4.5027000742679e-09,"oncostatin M receptor"
"LAMA3",2.25796154274359,4.55851423213289e-09,"laminin subunit alpha 3"
"BMAL2",1.52224515141026,4.60237831871054e-09,"basic helix-loop-helix ARNT like 2"
"ANKRD6",1.13476216894872,4.67961362790957e-09,"ankyrin repeat domain 6"
"PPP3CA",1.0014258155641,4.7836456613723e-09,"protein phosphatase 3 catalytic subunit alpha"
"ACTB",1.23029833666666,4.93102552541232e-09,"actin beta"
"CDH3",1.50129524407692,4.97633350596107e-09,"cadherin 3"
"HOXB6",1.03076513274359,4.97711660908784e-09,"homeobox B6"
"ENDOD1",1.17934138466667,5.06016007908656e-09,"endonuclease domain containing 1"
"SNAI2",1.74459440297436,5.06973950814877e-09,"snail family transcriptional repressor 2"
"SMS",1.25895713653846,5.1494798338093e-09,"spermine synthase"
"ALOX5",1.01060488797436,5.16322142267934e-09,"arachidonate 5-lipoxygenase"
"CAP1",1.27981122320513,5.64596187599647e-09,"cyclase associated actin cytoskeleton regulatory protein 1"
"IFI16",1.87083542202564,5.7010353356209e-09,"interferon gamma inducible protein 16"
"SPATS2L",1.43208487446154,5.73291942210399e-09,"spermatogenesis associated serine rich 2 like"
"PON2",1.13858202005128,5.83113663252777e-09,"paraoxonase 2"
"SDC1",1.3043823515641,5.9628158315528e-09,"syndecan 1"
"CHI3L1",2.14972450782052,5.98243251529403e-09,"chitinase 3 like 1"
"RTP4",1.17915290653846,5.98243251529403e-09,"receptor transporter protein 4"
"PMP22",1.73350398923077,6.04137007162349e-09,"peripheral myelin protein 22"
"S100A13",1.0747714441282,6.17501900300475e-09,"S100 calcium binding protein A13"
"MVP",1.05446132415385,6.28483948314303e-09,"major vault protein"
"SPAG1",1.05206198902564,6.35585426764381e-09,"sperm associated antigen 1"
"ADCY7",1.82035786,6.38164037354107e-09,"adenylate cyclase 7"
"XYLT1",1.21715422707692,6.40096574316932e-09,"xylosyltransferase 1"
"HGF",1.5083688805641,6.42107053130314e-09,"hepatocyte growth factor"
"CORIN",1.80041916315385,6.56746771186942e-09,"corin, serine peptidase"
"EGR2",1.96137558402564,6.64316794257483e-09,"early growth response 2"
"EFS",1.40759463764102,6.65115479433058e-09,"embryonal Fyn-associated substrate"
"ITGB4",1.23313595392308,6.66260375080752e-09,"integrin subunit beta 4"
"MYRIP",-1.42481833120513,6.67335368168961e-09,"myosin VIIA and Rab interacting protein"
"IL1RN",2.09890134817949,6.80474377356203e-09,"interleukin 1 receptor antagonist"
"SIDT2",-1.02951979774359,7.15010363721471e-09,"SID1 transmembrane family member 2"
"SKAP2",1.62028438492308,7.27318129343091e-09,"src kinase associated phosphoprotein 2"
"ITGA3",1.32864472374359,7.36074636890222e-09,"integrin subunit alpha 3"
"ADAM17",1.03179857169231,7.53131582455795e-09,"ADAM metallopeptidase domain 17"
"ZFPM2",1.881197289,7.62194989954849e-09,"zinc finger protein, FOG family member 2"
"TAGLN2",1.01534834823077,7.6454234593535e-09,"transgelin 2"
"BCL6",1.30329873648718,7.6454234593535e-09,"BCL6 transcription repressor"
"SDC4",1.03100459948718,7.72405027191165e-09,"syndecan 4"
"GNAI1",1.20843133907692,7.72615139553274e-09,"G protein subunit alpha i1"
"COL6A1",1.49855684582051,7.74222035458743e-09,"collagen type VI alpha 1 chain"
"STX7",1.12165268233333,7.86221530918564e-09,"syntaxin 7"
"CORO1C",1.34029165507692,8.05008822181384e-09,"coronin 1C"
"SLC20A1",1.37878937433333,8.15502470635679e-09,"solute carrier family 20 member 1"
"ZYX",1.22809508707693,8.37094263761756e-09,"zyxin"
"LCN2",2.89069735102564,8.46332604159071e-09,"lipocalin 2"
"APLP2",1.08990102366667,8.49468125518181e-09,"amyloid beta precursor like protein 2"
"MAST2",1.02122542053846,8.64960993598002e-09,"microtubule associated serine/threonine kinase 2"
"RBMS1",1.33809882105128,8.71929306201859e-09,"RNA binding motif single stranded interacting protein 1"
"COL15A1",1.41667414748718,8.78080672225693e-09,"collagen type XV alpha 1 chain"
"TGFB1",1.42463867610257,8.96322478428958e-09,"transforming growth factor beta 1"
"EOGT",1.21955267561538,9.11363567393126e-09,"EGF domain specific O-linked N-acetylglucosamine transferase"
"LDLRAD4",1.59140818661539,9.36140309361141e-09,"low density lipoprotein receptor class A domain containing 4"
"MAP4K5",1.02818232402564,9.67344604234072e-09,"mitogen-activated protein kinase kinase kinase kinase 5"
"TLR2",1.39651665138462,9.80899425718121e-09,"toll like receptor 2"
"TMC5",2.99861879441026,9.86409081979603e-09,"transmembrane channel like 5"
"BPGM",1.08444724587179,9.9861032509137e-09,"bisphosphoglycerate mutase"
"EPHA3",2.21970074223077,1.00684820564611e-08,"EPH receptor A3"
"GNPTAB",1.05173629330769,1.02427633223035e-08,"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta"
"FSCN1",1.94219736579487,1.06827677777014e-08,"fascin actin-bundling protein 1"
"ATP13A3",1.00248047412821,1.07691738126178e-08,"ATPase 13A3"
"WFDC2",1.22182340505128,1.09261973224664e-08,"WAP four-disulfide core domain 2"
"RGS4",1.61297241766667,1.11582840361526e-08,"regulator of G protein signaling 4"
"RRAS",1.14925098858975,1.11582840361526e-08,"RAS related"
"F3",1.39270318482051,1.1799025654769e-08,"coagulation factor III, tissue factor"
"MREG",1.11130479994872,1.21189523263647e-08,"melanoregulin"
"TAGLN",1.73223557133334,1.23304305651724e-08,"transgelin"
"NAP1L3",1.70084828494872,1.23677798846441e-08,"nucleosome assembly protein 1 like 3"
"SVIL",1.18001319246153,1.24904745742415e-08,"supervillin"
"PROS1",1.69926342861539,1.26237401497842e-08,"protein S"
"HOMER1",1.29900015446154,1.28064224125092e-08,"homer scaffold protein 1"
"AMPD3",1.18829030774359,1.29913614827204e-08,"adenosine monophosphate deaminase 3"
"CLEC7A",1.62282170330769,1.30081395178993e-08,"C-type lectin domain containing 7A"
"TWIST1",1.76062168864103,1.31447885162062e-08,"twist family bHLH transcription factor 1"
"DYRK2",1.05724653,1.36441801883498e-08,"dual specificity tyrosine phosphorylation regulated kinase 2"
"ELK3",1.48647676917949,1.38023384501283e-08,"ETS transcription factor ELK3"
"ITPR3",1.12579642507692,1.38025263093781e-08,"inositol 1,4,5-trisphosphate receptor type 3"
"CEACAM6",3.49364947830769,1.39258622568108e-08,"CEA cell adhesion molecule 6"
"AKT3",1.02550219533333,1.39998781993141e-08,"AKT serine/threonine kinase 3"
"EPHX2",-1.42766026635897,1.40590926936632e-08,"epoxide hydrolase 2"
"MYL9",2.1804018314359,1.41929235531437e-08,"myosin light chain 9"
"ZNF267",1.34153203348718,1.42395886612428e-08,"zinc finger protein 267"
"ITGB2",1.92041620397437,1.45146800457716e-08,"integrin subunit beta 2"
"C4A",1.62920383210257,1.46123152394718e-08,"complement C4A (Chido/Rodgers blood group)"
"C4B",1.62920383210257,1.46123152394718e-08,"complement C4B (Chido/Rodgers blood group)"
"C4B_2",1.62920383210257,1.46123152394718e-08,"complement component 4B (Chido/Rodgers blood group), copy 2"
"IFI30",1.44014081587179,1.48445815532505e-08,"IFI30 lysosomal thiol reductase"
"NQO1",2.18712492205128,1.48445815532505e-08,"NAD(P)H quinone dehydrogenase 1"
"CTH",-1.08720543389744,1.52704251543387e-08,"cystathionine gamma-lyase"
"GEM",1.95358254625641,1.56258853889725e-08,"GTP binding protein overexpressed in skeletal muscle"
"LAMB3",1.79451340179487,1.58482402761205e-08,"laminin subunit beta 3"
"CAVIN1",1.34433248253846,1.58763667136073e-08,"caveolae associated protein 1"
"XRCC4",1.01443118438462,1.61542972886754e-08,"X-ray repair cross complementing 4"
"CCDC102B",1.56482021374359,1.61682219451457e-08,"coiled-coil domain containing 102B"
"ECI2",-1.12510614305128,1.64030194774211e-08,"enoyl-CoA delta isomerase 2"
"THBS1",1.83454988905128,1.65926414624473e-08,"thrombospondin 1"
"ZNF281",1.18288015841026,1.67693351808924e-08,"zinc finger protein 281"
"CD55",1.96983227346154,1.70091632216755e-08,"CD55 molecule (Cromer blood group)"
"ENG",1.07856558084615,1.72676472610093e-08,"endoglin"
"CBFA2T3",-1.11700953271795,1.75049452723172e-08,"CBFA2/RUNX1 partner transcriptional co-repressor 3"
"CLIC4",1.08135355866666,1.76906895357269e-08,"chloride intracellular channel 4"
"FKBP11",-1.36024493389743,1.78801351629181e-08,"FKBP prolyl isomerase 11"
"IER3",1.16360324287179,1.83516247484435e-08,"immediate early response 3"
"MGP",1.64979771117949,1.83516247484435e-08,"matrix Gla protein"
"RHOBTB1",1.04722075176923,1.85350007401181e-08,"Rho related BTB domain containing 1"
"C1QTNF3",1.25702998102564,1.90832814152141e-08,"C1q and TNF related 3"
"KCNK1",1.76467495453846,1.93506151569346e-08,"potassium two pore domain channel subfamily K member 1"
"EHBP1",1.11321371041026,1.93665808037821e-08,"EH domain binding protein 1"
"CEBPB",1.18307558553846,1.94019600697333e-08,"CCAAT enhancer binding protein beta"
"DPYSL2",1.28867458574359,1.94352127568414e-08,"dihydropyrimidinase like 2"
"IL1R1",1.23169539020513,1.96851515744539e-08,"interleukin 1 receptor type 1"
"RAB23",1.21844098782051,1.9912113503286e-08,"RAB23, member RAS oncogene family"
"MAST4",1.13692903561538,1.99524016364419e-08,"microtubule associated serine/threonine kinase family member 4"
"TCF4",1.55790261748718,2.02062060760162e-08,"transcription factor 4"
"PKD2",1.08995664197436,2.02384614462459e-08,"polycystin 2, transient receptor potential cation channel"
"SPX",-1.26890812797436,2.05051419560973e-08,"spexin hormone"
"EPHX1",-1.39927233025641,2.06159325951827e-08,"epoxide hydrolase 1"
"IFITM1",1.56250443810256,2.1240739817542e-08,"interferon induced transmembrane protein 1"
"CRISPLD2",1.46272822433333,2.15223006701561e-08,"cysteine rich secretory protein LCCL domain containing 2"
"LRRC15",1.44891908010256,2.15782337883327e-08,"leucine rich repeat containing 15"
"FCGR2B",1.83950498294872,2.16873642535417e-08,"Fc gamma receptor IIb"
"BICD2",1.10610405169231,2.1708361733529e-08,"BICD cargo adaptor 2"
"LIPG",1.45918814741026,2.18124841514413e-08,"lipase G, endothelial type"
"DDX60",1.55703480725641,2.29346730392586e-08,"DExD/H-box helicase 60"
"FAS",1.33360413374359,2.30976027283284e-08,"Fas cell surface death receptor"
"PTGER4",-1.06762385402564,2.33854951903173e-08,"prostaglandin E receptor 4"
"VCL",1.05094253474358,2.34904885405861e-08,"vinculin"
"IRAK3",1.9877484545641,2.36427777232643e-08,"interleukin 1 receptor associated kinase 3"
"A2M",1.10460450428205,2.3848642395506e-08,"alpha-2-macroglobulin"
"GJA1",1.75172123589743,2.41236156080931e-08,"gap junction protein alpha 1"
"LMCD1",1.19321633130769,2.46321716785857e-08,"LIM and cysteine rich domains 1"
"MX1",1.53093500823077,2.50934295736952e-08,"MX dynamin like GTPase 1"
"SLAMF8",1.45193753033334,2.53535216638636e-08,"SLAM family member 8"
"MMP1",3.49148002025641,2.56056855397909e-08,"matrix metallopeptidase 1"
"MTMR11",1.73578547069231,2.58955351419037e-08,"myotubularin related protein 11"
"ATP10D",1.06819966097436,2.62232779413394e-08,"ATPase phospholipid transporting 10D (putative)"
"SAT1",1.14431059674359,2.64226516189556e-08,"spermidine/spermine N1-acetyltransferase 1"
"ENO1",1.16792983310256,2.70135069970281e-08,"enolase 1"
"JAM3",1.06296698825641,2.82929468413668e-08,"junctional adhesion molecule 3"
"TRHDE",-2.25612972907692,2.82963437187277e-08,"thyrotropin releasing hormone degrading enzyme"
"PXDN",1.754646069,2.8806503955419e-08,"peroxidasin"
"B4GALT5",1.3449051314359,2.88628145452307e-08,"beta-1,4-galactosyltransferase 5"
"ADAM12",1.89044000915385,2.93091912828919e-08,"ADAM metallopeptidase domain 12"
"THSD7A",1.3542096164359,2.93091912828919e-08,"thrombospondin type 1 domain containing 7A"
"CSTA",2.09054295946154,2.96857089120752e-08,"cystatin A"
"P2RX1",-1.61469267182051,2.98993856000404e-08,"purinergic receptor P2X 1"
"RFTN1",1.72420228589743,3.00934792485627e-08,"raftlin, lipid raft linker 1"
"MSRB2",1.21032111423076,3.04086297301186e-08,"methionine sulfoxide reductase B2"
"EPOR",-1.33459034417949,3.04086297301186e-08,"erythropoietin receptor"
"APOE",1.68851917184616,3.04710087637179e-08,"apolipoprotein E"
"FMO1",1.57004833776923,3.06134413153118e-08,"flavin containing dimethylaniline monoxygenase 1"
"DCN",1.77303393066667,3.06134413153118e-08,"decorin"
"SAMD9",1.36083385615385,3.13188701541777e-08,"sterile alpha motif domain containing 9"
"LGALS3",1.37481423276923,3.14028363539372e-08,"galectin 3"
"ASAP1",1.32282356474359,3.15361711995622e-08,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
"NRP1",1.30306081146154,3.17244043975425e-08,"neuropilin 1"
"E2F3",1.27940868776923,3.17854650328089e-08,"E2F transcription factor 3"
"ACAT1",-1.06918085210257,3.18035448764964e-08,"acetyl-CoA acetyltransferase 1"
"CLEC4A",1.62955512033334,3.1989924341529e-08,"C-type lectin domain family 4 member A"
"ZG16",-2.07788821094872,3.21463745089687e-08,"zymogen granule protein 16"
"PDE10A",1.17037421633333,3.21813706016753e-08,"phosphodiesterase 10A"
"ID3",1.31341568679487,3.21813706016753e-08,"inhibitor of DNA binding 3"
"PANX1",1.17261920089744,3.31914815921819e-08,"pannexin 1"
"ABCA1",1.22036568258974,3.35176230271702e-08,"ATP binding cassette subfamily A member 1"
"CTSE",2.7257766994359,3.35245189217656e-08,"cathepsin E"
"RGS1",2.42194854710257,3.40963646185371e-08,"regulator of G protein signaling 1"
"TGFB2",1.30239711230769,3.42751246015525e-08,"transforming growth factor beta 2"
"EFNB2",1.91450269010256,3.48670640128935e-08,"ephrin B2"
"APOC1",1.5951612638718,3.48997273349258e-08,"apolipoprotein C1"
"PLCB1",-1.03114790858974,3.49966157156465e-08,"phospholipase C beta 1"
"AUTS2",1.27755179120512,3.51946762442963e-08,"activator of transcription and developmental regulator AUTS2"
"SCD",1.78751763202564,3.60248658442352e-08,"stearoyl-CoA desaturase"
"STON1",1.60166700964103,3.90608738868158e-08,"stonin 1"
"ELOVL5",1.65437362589744,3.91627483959962e-08,"ELOVL fatty acid elongase 5"
"ADAM22",1.22852825028205,3.94717789632993e-08,"ADAM metallopeptidase domain 22"
"TDO2",2.28495877105128,4.0680221329588e-08,"tryptophan 2,3-dioxygenase"
"MARCKSL1",1.33026173574359,4.08561283276692e-08,"MARCKS like 1"
"IFI35",1.03359345430769,4.11882208822601e-08,"interferon induced protein 35"
"MGLL",1.6579553474359,4.12871557390848e-08,"monoglyceride lipase"
"DKK2",1.41846800438462,4.14785205563951e-08,"dickkopf Wnt signaling pathway inhibitor 2"
"TFAP2A",1.51075639015385,4.17805456118887e-08,"transcription factor AP-2 alpha"
"TRAM2",1.09426876087179,4.20717944761796e-08,"translocation associated membrane protein 2"
"PTGS1",1.17466898971795,4.21010759293292e-08,"prostaglandin-endoperoxide synthase 1"
"THAP9-AS1",1.0259725386923,4.23194383568354e-08,"THAP9 antisense RNA 1"
"CNIH4",1.07912597135897,4.27985340200641e-08,"cornichon family member 4"
"GAS7",1.24244428284615,4.33111789725685e-08,"growth arrest specific 7"
"PDGFRA",1.46223862189743,4.33381358188723e-08,"platelet derived growth factor receptor alpha"
"KDM2A",1.10865196515384,4.34382114792476e-08,"lysine demethylase 2A"
"CD14",1.79019951602564,4.35377200995044e-08,"CD14 molecule"
"LAPTM5",2.03416565930769,4.41572334086502e-08,"lysosomal protein transmembrane 5"
"PDZD2",1.04398628707692,4.51395019801576e-08,"PDZ domain containing 2"
"FZD7",1.58828687856411,4.61080883916145e-08,"frizzled class receptor 7"
"AHNAK",1.08570015651282,4.61396936552109e-08,"AHNAK nucleoprotein"
"QKI",1.11932754179487,4.74308781912604e-08,"QKI, KH domain containing RNA binding"
"CDH6",1.01406046748718,4.85914158064933e-08,"cadherin 6"
"C5AR1",1.96201075692308,4.87215047837095e-08,"complement C5a receptor 1"
"MCUB",1.95421261710256,5.01943996774799e-08,"mitochondrial calcium uniporter dominant negative subunit beta"
"CHIC2",1.05014558723077,5.04873526368992e-08,"cysteine rich hydrophobic domain 2"
"JUP",1.01367965969231,5.09587561675696e-08,"junction plakoglobin"
"SLC1A3",1.38417237825641,5.23528486706094e-08,"solute carrier family 1 member 3"
"CXCR4",2.88468140146154,5.29218116361216e-08,"C-X-C motif chemokine receptor 4"
"WWTR1",1.07537129817949,5.33052603082618e-08,"WW domain containing transcription regulator 1"
"CBLB",1.43526663253846,5.34334039385182e-08,"Cbl proto-oncogene B"
"PKIA",1.10934914,5.53605180540128e-08,"cAMP-dependent protein kinase inhibitor alpha"
"SMAD7",1.03705864076923,5.57747083379688e-08,"SMAD family member 7"
"RNASE6",1.79496226282051,5.57747083379688e-08,"ribonuclease A family member 6"
"EFEMP1",1.75532030889743,5.80961223235771e-08,"EGF-like fibulin extracellular matrix protein 1"
"PDLIM5",1.01935518405128,6.09674473686107e-08,"PDZ and LIM domain 5"
"LY96",2.39658933669231,6.10636989312376e-08,"lymphocyte antigen 96"
"PAIP2B",-1.81299397492308,6.32569044568823e-08,"poly(A) binding protein interacting protein 2B"
"CD86",1.87590309697436,6.34760407560461e-08,"CD86 molecule"
"RUNX1-IT1",1.08222579271795,6.41791931270339e-08,"RUNX1 intronic transcript 1"
"C1orf54",1.53572702746154,6.5774207495357e-08,"chromosome 1 open reading frame 54"
"CD200",1.44295815966667,6.60628440274311e-08,"CD200 molecule"
"EPS8",1.26288377074359,6.61737903822202e-08,"EGFR pathway substrate 8, signaling adaptor"
"HMG20B",1.10876716702564,6.62748865836491e-08,"high mobility group 20B"
"IGF2BP3",1.76527073079487,6.63650977563154e-08,"insulin like growth factor 2 mRNA binding protein 3"
"ADCY3",1.00085960666666,6.64847661066123e-08,"adenylate cyclase 3"
"C3AR1",1.0889317801282,6.67589031713065e-08,"complement C3a receptor 1"
"KPNA2",1.34912010266667,6.69395460396036e-08,"karyopherin subunit alpha 2"
"MYH10",1.14346793841026,6.96741471544366e-08,"myosin heavy chain 10"
"SNX10",1.19971456402564,7.10506470696555e-08,"sorting nexin 10"
"LGALS2",-1.97731713969231,7.11522930237503e-08,"galectin 2"
"NAV3",1.51449858987179,7.14176480332136e-08,"neuron navigator 3"
"PDCD4",-1.06569298574359,7.18412135508461e-08,"programmed cell death 4"
"PDE1A",1.48349105102564,7.26310167126077e-08,"phosphodiesterase 1A"
"BASP1",1.90257887892308,7.28111120697953e-08,"brain abundant membrane attached signal protein 1"
"ACSL4",1.05235431212821,7.32788616980726e-08,"acyl-CoA synthetase long chain family member 4"
"XAF1",1.38000839217949,7.34792593906084e-08,"XIAP associated factor 1"
"MEF2A",1.13938370874359,7.35355940528892e-08,"myocyte enhancer factor 2A"
"UBE2D1",1.16183247592308,7.35430748157006e-08,"ubiquitin conjugating enzyme E2 D1"
"FERMT1",1.65537610269231,7.51651265169639e-08,"FERM domain containing kindlin 1"
"PELO",1.00257091484616,7.5927389220442e-08,"pelota mRNA surveillance and ribosome rescue factor"
"SERPINB2",1.83245145361538,7.69277941554379e-08,"serpin family B member 2"
"ABAT",-1.04113553841026,7.74112363948269e-08,"4-aminobutyrate aminotransferase"
"FCGR3B",2.41674825502564,7.75789278479536e-08,"Fc gamma receptor IIIb"
"FCGR3A",2.41674825502564,7.75789278479536e-08,"Fc gamma receptor IIIa"
