"SYMBOL","logFC","adj.P.Val","GENENAME"
"DIO2",1.38033909205128,2.77983577764238e-13,"iodothyronine deiodinase 2"
"CTSK",2.61423966833333,2.94627650697753e-13,"cathepsin K"
"ITGBL1",3.44943376820513,3.64740026992869e-13,"integrin subunit beta like 1"
"ACVR1",1.50544260005128,4.15177750301759e-13,"activin A receptor type 1"
"CST1",3.34647655053846,4.2759241796885e-13,"cystatin SN"
"MPZL1",1.00361880430769,4.46237937193309e-13,"myelin protein zero like 1"
"TNFRSF21",1.69518796371795,6.27114923907786e-13,"TNF receptor superfamily member 21"
"TNFSF4",1.56950389451282,6.36741808275518e-13,"TNF superfamily member 4"
"POGLUT2",1.86816250474359,6.59658959327863e-13,"protein O-glucosyltransferase 2"
"KRT17",2.45586010551282,6.743604752581e-13,"keratin 17"
"ANOS1",2.00060492451282,7.68991645154125e-13,"anosmin 1"
"NTM",1.65400300158974,8.13436650702964e-13,"neurotrimin"
"MAP4K4",1.34872578797436,9.48652719065523e-13,"mitogen-activated protein kinase kinase kinase kinase 4"
"GPNMB",2.43979090946154,1.00763380863734e-12,"glycoprotein nmb"
"HOXB7",1.2670413234359,1.06918522561819e-12,"homeobox B7"
"PKM",1.53410463358975,1.15307418137442e-12,"pyruvate kinase M1/2"
"HOXB2",1.69024456474359,1.15307418137442e-12,"homeobox B2"
"HOPX",3.11153624174359,1.27146304066707e-12,"HOP homeobox"
"IGFBP3",2.4936832984359,1.27689160515306e-12,"insulin like growth factor binding protein 3"
"STEAP1",2.2219705931282,1.30891805057157e-12,"STEAP family member 1"
"RARRES1",3.30493527707692,1.3570166076982e-12,"retinoic acid receptor responder 1"
"TRIO",1.28007123866667,1.46742080115381e-12,"trio Rho guanine nucleotide exchange factor"
"PDPN",1.95888140035898,1.503602057213e-12,"podoplanin"
"NUAK1",1.6424663645641,1.56064139239283e-12,"NUAK family kinase 1"
"F2R",2.29559355866667,1.63390624563932e-12,"coagulation factor II thrombin receptor"
"ANTXR1",1.49081538866667,1.82537216897089e-12,"ANTXR cell adhesion molecule 1"
"CALU",1.1909933518718,1.89678947579333e-12,"calumenin"
"LAMP5",2.23697556120513,2.16228700785434e-12,"lysosomal associated membrane protein family member 5"
"ASPN",2.26366380405128,2.28790380996893e-12,"asporin"
"FGD6",1.47405105482051,2.37293672955797e-12,"FYVE, RhoGEF and PH domain containing 6"
"TMEM204",1.5592084361282,2.40416776368188e-12,"transmembrane protein 204"
"SQLE",1.56953767523077,2.59288148154484e-12,"squalene epoxidase"
"AMIGO2",1.85829455294872,2.79013594537947e-12,"adhesion molecule with Ig like domain 2"
"MOXD1",2.30241455023077,2.96907466664154e-12,"monooxygenase DBH like 1"
"ITGA2",1.38190766764103,3.03117479359682e-12,"integrin subunit alpha 2"
"LRRC32",1.39984017925641,3.35220921560941e-12,"leucine rich repeat containing 32"
"COL4A1",2.35789759351282,3.39395432897003e-12,"collagen type IV alpha 1 chain"
"PHLDA2",2.84972941430769,3.45928204774999e-12,"pleckstrin homology like domain family A member 2"
"ZC2HC1A",1.18367892341026,3.63630484930944e-12,"zinc finger C2HC-type containing 1A"
"FBN1",2.7266446105641,3.66849673108467e-12,"fibrillin 1"
"SMYD3",1.15434317094872,3.95175559618609e-12,"SET and MYND domain containing 3"
"CSGALNACT2",1.78694528753846,4.00295764530551e-12,"chondroitin sulfate N-acetylgalactosaminyltransferase 2"
"HSPG2",1.0804452725641,4.24436751761945e-12,"heparan sulfate proteoglycan 2"
"LOX",3.08976983697436,4.55604846065397e-12,"lysyl oxidase"
"MRC2",1.38586244376923,4.66839518321126e-12,"mannose receptor C-type 2"
"MYO1E",1.24030964379487,4.80480050614727e-12,"myosin IE"
"SFRP4",3.45555498402564,4.80480050614727e-12,"secreted frizzled related protein 4"
"LXN",2.05045766105128,5.17700936996635e-12,"latexin"
"ASAP2",1.27142047566666,5.40147131826619e-12,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
"TGIF1",1.245233066,5.43676052780661e-12,"TGFB induced factor homeobox 1"
"TMEM87A",1.02047366166667,5.55845148561056e-12,"transmembrane protein 87A"
"LGALS1",2.24791926633334,5.62044111896354e-12,"galectin 1"
"COL4A2",2.20188351638461,5.62044111896354e-12,"collagen type IV alpha 2 chain"
"S100A6",2.51199065528205,5.79826914627424e-12,"S100 calcium binding protein A6"
"LTBP2",1.69930001417949,5.83783049096828e-12,"latent transforming growth factor beta binding protein 2"
"HTRA1",1.51944716007692,6.00081248158338e-12,"HtrA serine peptidase 1"
"APBB2",1.45010875961539,6.05222337692014e-12,"amyloid beta precursor protein binding family B member 2"
"ZNF532",1.44874424158974,6.33727450081541e-12,"zinc finger protein 532"
"SEMA3C",3.07231169261538,6.73690801921205e-12,"semaphorin 3C"
"TM4SF1",1.48311948915384,6.74663591582217e-12,"transmembrane 4 L six family member 1"
"KDM5B",1.02219257648718,6.82402900622461e-12,"lysine demethylase 5B"
"PRR16",1.50862952130769,6.886023822698e-12,"proline rich 16"
"CYB5R2",1.05165231133334,7.01617863029631e-12,"cytochrome b5 reductase 2"
"DPYSL3",2.01701305782051,8.49754107316022e-12,"dihydropyrimidinase like 3"
"PDGFC",1.47825942374359,8.8392918276472e-12,"platelet derived growth factor C"
"MMP11",2.14726966433333,9.10755392516387e-12,"matrix metallopeptidase 11"
"PDLIM7",1.28275839735897,9.27455326607076e-12,"PDZ and LIM domain 7"
"ATP2C1",1.07428203202564,9.27455326607076e-12,"ATPase secretory pathway Ca2+ transporting 1"
"SGCB",1.11924367728205,9.31101548477996e-12,"sarcoglycan beta"
"GGT5",1.12828913948718,9.61685283920011e-12,"gamma-glutamyltransferase 5"
"CCN4",1.55322346161538,1.03698872998181e-11,"cellular communication network factor 4"
"RBFOX2",1.05298476594872,1.06212340636865e-11,"RNA binding fox-1 homolog 2"
"HSD11B1",1.72697265348718,1.10356706173226e-11,"hydroxysteroid 11-beta dehydrogenase 1"
"PLAT",2.53990857369231,1.12290554906668e-11,"plasminogen activator, tissue type"
"SLC16A3",2.64063039797436,1.12693764995375e-11,"solute carrier family 16 member 3"
"SERPING1",1.52175461097436,1.21652163445095e-11,"serpin family G member 1"
"PMEPA1",1.50136868874359,1.2180397422976e-11,"prostate transmembrane protein, androgen induced 1"
"C1R",2.06078897230769,1.33605080730662e-11,"complement C1r"
"TNFRSF11B",1.69981720874359,1.35584262503096e-11,"TNF receptor superfamily member 11b"
"C1S",1.96880199589743,1.40673794305367e-11,"complement C1s"
"KYNU",2.76150267925641,1.41800247180949e-11,"kynureninase"
"P3H1",1.09696298846155,1.46983464128445e-11,"prolyl 3-hydroxylase 1"
"CEP170",1.47597674020513,1.55180983348285e-11,"centrosomal protein 170"
"COPS8",1.13879309825641,1.61761545654286e-11,"COP9 signalosome subunit 8"
"PLAUR",1.91519508748718,1.66053865544815e-11,"plasminogen activator, urokinase receptor"
"SMURF1",1.09746515243589,1.66053865544815e-11,"SMAD specific E3 ubiquitin protein ligase 1"
"PALLD",2.17428732702564,1.7024102209033e-11,"palladin, cytoskeletal associated protein"
"SH3PXD2A",1.04658424925641,1.7024102209033e-11,"SH3 and PX domains 2A"
"CKLF",1.48931574797436,1.7024102209033e-11,"chemokine like factor"
"UBD",2.90161724223077,1.70475569755583e-11,"ubiquitin like modifier D"
"GABBR1",2.90161724223077,1.70475569755583e-11,"gamma-aminobutyric acid type B receptor subunit 1"
"TBCB",1.06848067994872,1.71486478582646e-11,"tubulin folding cofactor B"
"CLEC11A",1.62324936838461,1.73582939926199e-11,"C-type lectin domain containing 11A"
"CTSA",1.07778780725641,1.77564812492958e-11,"cathepsin A"
"IDS",1.28458680448718,1.82204145915045e-11,"iduronate 2-sulfatase"
"IGFBP7",1.74677127689744,1.85298444124507e-11,"insulin like growth factor binding protein 7"
"ITGAV",1.21297352207693,1.95432180919826e-11,"integrin subunit alpha V"
"ENC1",1.19392758179488,1.98839959366517e-11,"ectodermal-neural cortex 1"
"PLAU",2.34196063951282,2.10607111103108e-11,"plasminogen activator, urokinase"
"MITF",1.11859712551282,2.21073027883051e-11,"melanocyte inducing transcription factor"
"TSPO",1.0049776425641,2.23695035438225e-11,"translocator protein"
"AHR",1.79760663715384,2.25332490018845e-11,"aryl hydrocarbon receptor"
"ITGB6",2.58594171033333,2.39686868640528e-11,"integrin subunit beta 6"
"LINC02478",2.58594171033333,2.39686868640528e-11,"long intergenic non-protein coding RNA 2478"
"GLT8D2",1.55992915892308,2.45363681897033e-11,"glycosyltransferase 8 domain containing 2"
"PRRX1",2.03484003082051,2.49883125753685e-11,"paired related homeobox 1"
"LTBP3",1.32628107079487,2.63981248926482e-11,"latent transforming growth factor beta binding protein 3"
"SKIL",1.43012691246154,2.69164336765596e-11,"SKI like proto-oncogene"
"SERPINA1",2.30328180538461,3.00510375495831e-11,"serpin family A member 1"
"NNMT",2.69162059512821,3.05352999819203e-11,"nicotinamide N-methyltransferase"
"KRT19",3.71089110566667,3.15952935737502e-11,"keratin 19"
"ADAM9",1.8169893944359,3.20434679372626e-11,"ADAM metallopeptidase domain 9"
"CXCL5",3.75164033441026,3.5202791289814e-11,"C-X-C motif chemokine ligand 5"
"TRPS1",1.42977389576923,3.70609884066182e-11,"transcriptional repressor GATA binding 1"
"ECM1",1.14636040533334,3.76056535257639e-11,"extracellular matrix protein 1"
"PIEZO1",1.24843147864102,3.77455044238339e-11,"piezo type mechanosensitive ion channel component 1 (Er blood group)"
"CD9",1.48288830138461,3.88441386344357e-11,"CD9 molecule"
"BHLHE40",1.68756002733333,3.90553511973397e-11,"basic helix-loop-helix family member e40"
"ITGB1",1.215606464,4.09776277180053e-11,"integrin subunit beta 1"
"C1RL",1.178780092,4.24275691471897e-11,"complement C1r subcomponent like"
"TNFAIP6",2.51302163869231,4.56354494202613e-11,"TNF alpha induced protein 6"
"TPM4",1.52652196092307,4.58348113779067e-11,"tropomyosin 4"
"FZD1",1.18648120084616,4.64777377225218e-11,"frizzled class receptor 1"
"ARHGAP26",1.13755929069231,4.67560116433798e-11,"Rho GTPase activating protein 26"
"HIP1",1.29162435161538,4.9383532002035e-11,"huntingtin interacting protein 1"
"TMSB10",1.42526578871795,4.93878600444874e-11,"thymosin beta 10"
"FSTL1",1.8406840644359,5.26116475709736e-11,"follistatin like 1"
"BTD",-1.13963005092308,5.28110316377465e-11,"biotinidase"
"LAMB1",1.54178510438462,5.45606468487498e-11,"laminin subunit beta 1"
"LMO4",1.0670445634359,5.572382029311e-11,"LIM domain only 4"
"TMEM158",2.09444474317949,5.80157939438989e-11,"transmembrane protein 158"
"S100A10",1.57655831217948,6.03647535343532e-11,"S100 calcium binding protein A10"
"PLEC",1.122537152,6.28339554892571e-11,"plectin"
"MMP7",3.37196074389744,6.49740627552815e-11,"matrix metallopeptidase 7"
"LZTS1",1.29944721571795,6.56838193986388e-11,"leucine zipper tumor suppressor 1"
"INPP5F",1.24248045469231,6.60825620514982e-11,"inositol polyphosphate-5-phosphatase F"
"CALD1",2.06873722961538,6.67979264518978e-11,"caldesmon 1"
"DYNLT3",1.01306008782051,7.09324139847213e-11,"dynein light chain Tctex-type 3"
"BICD1",1.3554741344359,7.52877167528343e-11,"BICD cargo adaptor 1"
"LUM",1.75492824853846,7.61426288287905e-11,"lumican"
"PTPRG",1.26349407671795,7.97747888053908e-11,"protein tyrosine phosphatase receptor type G"
"ADAMTS2",1.14922559510256,7.97849610409903e-11,"ADAM metallopeptidase with thrombospondin type 1 motif 2"
"TPST1",1.23527657556411,8.14392657544684e-11,"tyrosylprotein sulfotransferase 1"
"TIMP3",1.80741323343589,8.7157044034762e-11,"TIMP metallopeptidase inhibitor 3"
"S100P",3.66658088679487,9.23196802909585e-11,"S100 calcium binding protein P"
"LRP12",1.06036251707692,9.23196802909585e-11,"LDL receptor related protein 12"
"ALOX5AP",2.32457759005128,9.3059076843576e-11,"arachidonate 5-lipoxygenase activating protein"
"PNMA2",2.06026376315384,9.51067231547936e-11,"PNMA family member 2"
"MMP14",1.1981167251282,9.90016369658024e-11,"matrix metallopeptidase 14"
"RCN1",1.47625619858974,1.0166114892398e-10,"reticulocalbin 1"
"AGT",1.70382946717949,1.0166114892398e-10,"angiotensinogen"
"CTSB",1.31697958717949,1.0482950596435e-10,"cathepsin B"
"RIN2",1.01674917030769,1.0764937879805e-10,"Ras and Rab interactor 2"
"GLI2",1.10823920807692,1.07912708016753e-10,"GLI family zinc finger 2"
"PRKCI",1.20956242161539,1.0799707196541e-10,"protein kinase C iota"
"COL6A2",2.31622326641026,1.09466222247408e-10,"collagen type VI alpha 2 chain"
"CSTB",1.27974271623077,1.12308484690114e-10,"cystatin B"
"PCOLCE",1.66698501171795,1.15647363001121e-10,"procollagen C-endopeptidase enhancer"
"LIMS1",1.54898316566667,1.16679788979652e-10,"LIM zinc finger domain containing 1"
"BNC2",1.50985229692308,1.1835934294442e-10,"basonuclin zinc finger protein 2"
"MBOAT2",1.12972611838462,1.29508915274547e-10,"membrane bound glycerophospholipid O-acyltransferase 2"
"FKBP10",1.01319443379487,1.3610969863234e-10,"FKBP prolyl isomerase 10"
"PDLIM4",1.43280471712821,1.37668244406732e-10,"PDZ and LIM domain 4"
"FCGR2A",2.05777703084615,1.39146791660584e-10,"Fc gamma receptor IIa"
"FCGR2C",2.05777703084615,1.39146791660584e-10,"Fc gamma receptor IIc (gene/pseudogene)"
"IFI44",1.87977620958975,1.42311490635775e-10,"interferon induced protein 44"
"STS",1.32629626161539,1.51085952578038e-10,"steroid sulfatase"
"EMILIN1",1.23140427641026,1.52585204335416e-10,"elastin microfibril interfacer 1"
"ENTPD1",1.59370683946154,1.54229970864213e-10,"ectonucleoside triphosphate diphosphohydrolase 1"
"CLEC5A",1.86808192194872,1.59516894488234e-10,"C-type lectin domain containing 5A"
"NCK1",1.21349269451282,1.64273371547925e-10,"NCK adaptor protein 1"
"LINC00342",1.41471686710256,1.69978618150225e-10,"long intergenic non-protein coding RNA 342"
"NID2",1.78046364651282,1.77943136062094e-10,"nidogen 2"
"SLC38A6",1.47267258469231,1.98432546119523e-10,"solute carrier family 38 member 6"
"TMEM47",1.07668873635898,2.06169009027461e-10,"transmembrane protein 47"
"INPP4B",1.61525245820513,2.0926789037588e-10,"inositol polyphosphate-4-phosphatase type II B"
